BHID,X,Y,Z_STRAT_TOP,RCG,ATGc,AAG,STGc,SRG,FEGc,TIGc,PPGc,A1,A2,A3,A4,FR_AAG,FR_SRG,DECLUS_W,ROCK
430,589787.2753,9724374.902,-1.25,78.1246,53.51152916771731,49.6896,3.5260765303570283,3.0426,13.672887493249513,0.7306349081576505,28.558871900518493,1.8737269929330016,0.12346694024328782,0.478761470021555,0.02558346529592388,0.9285774630783112,0.8628854121019108,0.7058,1
430,589787.2753,9724374.902,-1.75,79.8597,52.794045614124094,48.8115,4.572633477028036,4.2294,14.582995888210853,0.9499852662515196,27.100339754385498,1.9480953409663702,0.1687297472456253,0.5381111831209041,0.03505436739396556,0.9245644926847842,0.9249374613661099,0.7058,1
430,589787.2753,9724374.902,-2.25,78.8128,54.987149700635435,51.1638,3.7491678653822826,3.5012,11.069607742190678,0.7836592718401568,29.41041541995145,1.869648861312351,0.12747755554785264,0.37638393011889504,0.026645637630420473,0.9304683053867903,0.9338605593865563,0.7058,1
430,589787.2753,9724374.902,-2.75,69.0083,52.108993807955166,47.6395,4.678377428198089,4.1016,14.065106902697309,0.9567491662991812,28.190772694850253,1.8484414872911294,0.1659542105794323,0.4989259093727023,0.033938380357837986,0.9142279771429239,0.8767142161892144,0.7058,1
461,587651.5901,9723762.54,-0.25,80.4536,44.98381513399884,38.8963,5.432680865494519,5.2486,24.61682878771319,0.8085793579373258,24.15809585485613,1.8620596343464064,0.224880342314002,1.0189887868486476,0.03347032658514722,0.864673213779996,0.9661160171097657,2.4489,1
462,586651.8677,9723764.32,-0.25,88.3393,47.52277619578185,45.7661,0.805588918328941,0.5246,25.33104906364809,1.3353078258796578,25.005277996361457,1.9005098124762676,0.0322167551365021,1.0130280922025356,0.05340103901560142,0.9630350678894518,0.6512006161755485,2.1653,1
462,586651.8677,9723764.32,-0.75,79.0383,55.562452402533964,53.4537,1.93025644533824,1.8469,12.222274758982024,1.2378107730985408,29.047205620047233,1.9128329633259784,0.06645239719741074,0.42077282472041627,0.042613764273567604,0.9620471683420908,0.9568158699640381,2.1653,1
462,586651.8677,9723764.32,-1.25,79.2317,54.70100674880559,50.5102,3.2311657613390876,3.071,12.686752567991583,0.9327276686715762,28.448347253192168,1.9228184422090682,0.11358008718684073,0.4459574559843019,0.03278670849909973,0.9233870270788553,0.9504309672826224,2.1653,1
462,586651.8677,9723764.32,-1.75,68.042,56.12622204023135,47.7005,8.633669447714592,7.8322,6.179659108358498,0.6623330091621026,28.39811639453346,1.9764065074060846,0.30402260937899894,0.2176080632428164,0.023323131716214793,0.8498790452314468,0.907169315136712,2.1653,1
463,586846.4982,9723777.47,-1.65,78.6011,55.93224952192202,51.1424,5.135620916679854,4.8082,9.474966053187874,1.0457735084824187,28.411389999727835,1.9686558638087688,0.1807592277860763,0.33349181624970264,0.036808248680984514,0.9143633670581283,0.9362451158307983,1.5539,1
484,587452.6497,9723764.31,-0.25,80.442,47.73314742756995,43.5007,4.037717576796177,3.2737,21.901050224243708,0.9600353794228118,25.36804939196735,1.8816246645547918,0.15916547285163743,0.8633320554468232,0.03784427271443273,0.9113310633037085,0.8107798373054104,1.2929,1
484,587452.6497,9723764.31,-0.75,74.4651,46.93679563919926,40.1676,6.602462119077889,5.8555,20.895537678084644,0.8397266406529318,24.725477922985274,1.8983170228457313,0.2670307178548049,0.8451014675295621,0.03396199835928372,0.8557806184462672,0.8868661257564003,1.2929,1
494,587787.0605,9723780.14,-0.25,85.3782,47.33972958976328,42.4051,3.88133245095128,3.7581,23.31647280949162,1.1731762612202208,24.2892888885736,1.9489961112872796,0.15979605120416568,0.9599487624547287,0.048300148538812,0.8957613481841615,0.9682499624784585,0.6317,1
494,587787.0605,9723780.14,-0.75,71.7968,43.06741517153462,37.5123,4.582071813026705,4.096,29.061570987350457,1.199793352570355,22.089148675517865,1.9497091447108446,0.20743541909811883,1.3156492092228234,0.05431596166040232,0.8710134994308582,0.8939187701849596,0.6317,1
494,587787.0605,9723780.14,-1.25,61.9839,51.458133560868504,45.313,6.150895668211853,5.7309,15.526257271046918,0.9624295283240041,25.902283971548723,1.9866253345608647,0.23746537853449706,0.5994165336192393,0.0371561646602726,0.8805799368218519,0.9317179658269262,0.6317,1
494,587787.0605,9723780.14,-1.75,78.7069,52.27153540856825,46.3757,4.718353687776111,4.4795,15.470090702253781,0.9026353646965198,26.637384836705344,1.9623373589039408,0.177132767225497,0.5807661223911351,0.033886035368333955,0.8872075334599447,0.9493777483458029,0.6317,1
494,587787.0605,9723780.14,-2.25,66.3497,52.201856773052306,46.6305,4.865174474734002,4.7011,15.591307533349662,0.9018727622686877,26.439788456595338,1.9743674144272771,0.1840095839919777,0.589691084667527,0.034110437901167016,0.8932728236607791,0.9662757264747485,0.6317,1
494,587787.0605,9723780.14,-2.75,75.0398,52.756516342573434,46.104,5.909022690582232,5.7953,14.086900792588446,0.8111457243220003,26.43641444993389,1.9956002899896044,0.22351831038860903,0.5328597347899301,0.030682894832738134,0.8739015233800609,0.980754399409655,0.6317,1
495,587788.5904,9723568.89,-0.25,72.2402,42.043767847896,36.7638,4.7563530116719015,3.8094,28.108089961025847,1.0463305183634313,24.045458661042826,1.7485117851385832,0.1978067076498687,1.1689562822340787,0.043514683296877195,0.8744173484403772,0.8009077523581374,3.8856,1
498,587976.9209,9723764.35,-0.25,80.2071,48.16272686437163,44.8645,2.369863833213177,2.2606,23.4641057698255,1.009615530861869,24.993688001727822,1.9269956022913515,0.09481849309511056,0.9388012592700773,0.040394820115865815,0.9315191003686403,0.9538944678247476,2.8067,1
498,587976.9209,9723764.35,-0.75,75.3831,50.04287193425224,46.5026,2.7734299165210636,2.5621,20.420994305312885,0.9593606419465475,25.80334320196727,1.939394889358249,0.10748335573467918,0.7914088552585686,0.03717970320502519,0.9292552206255559,0.9238019625943346,2.8067,1
498,587976.9209,9723764.35,-1.25,76.7233,48.92537027996839,43.8721,4.814973251266978,4.6101,20.468543188006098,0.8231463354487395,24.967966945309794,1.9595255948205654,0.19284602794507727,0.8197921453853532,0.032968096171056754,0.8967147258967735,0.9574508017852292,2.8067,1
498,587976.9209,9723764.35,-1.75,66.794,49.85371903988145,42.8195,7.138369908607119,6.8017,17.161283567604354,0.8155692071028317,25.03105827680425,1.9916744425496318,0.28518050773834425,0.6855996010167638,0.032582290292480456,0.8589028225907421,0.9528365841337001,2.8067,1
498,587976.9209,9723764.35,-2.25,78.6252,52.50118208066318,44.2045,6.994295832033883,6.9112,14.605084455890786,0.9323849860665385,24.967052645345614,2.1028185756018947,0.28014102951546294,0.5849743124811123,0.03734461569457037,0.8419715185095052,0.9881194856452449,2.8067,1
498,587976.9209,9723764.35,-2.75,72.9616,49.94934601640807,41.5995,7.381927020109982,7.1445,17.945265584508817,0.8132750586612287,23.910186320311897,2.089040434368163,0.3087356543867237,0.7505280529438689,0.034013748273067405,0.8328337269187629,0.9678367153369061,2.8067,1
499,587983.4409,9723554.75,-0.25,64.7133,49.46012658679182,37.9158,11.525347410757126,11.1476,13.192491180386687,0.8047928982629717,25.01724192380139,1.9770415434858744,0.4606961649034507,0.5273359557607891,0.03216952934756938,0.7665932664661901,0.9672246399787865,3.8856,1
500,587987.9009,9723355.239,-0.25,60.9609,54.17910492903007,45.9618,8.49834509360328,8.0161,8.887094351340206,0.8581518884483197,27.577303737578124,1.9646266163143093,0.308164466492895,0.322261176651227,0.031118048980218534,0.8483307367333951,0.9432542349961445,3.8856,1
502,588186.4014,9723764.1,-0.25,86.5643,46.97778115578525,44.5585,1.89415013554255,1.673,25.613437713764533,1.0092472954827594,24.505383699424904,1.9170391997121732,0.07729526534967099,1.045216758404221,0.04118471711611863,0.9485015874257118,0.8832457198651759,3.4824,1
502,588186.4014,9723764.1,-0.75,87.3437,52.9200059849152,51.573,1.4990405056249163,1.3507,17.05761083390153,1.0729667606244797,27.450375914933872,1.9278426695834443,0.05460910663920602,0.6213980779994219,0.03908750699624306,0.9745463750457783,0.9010430304796357,3.4824,1
502,588186.4014,9723764.1,-1.25,85.7494,55.66533269152143,54.2891,1.515474984441432,1.1923,12.853390962133767,1.0055164940958004,28.960284867807573,1.9221265586858693,0.052329422564694555,0.44382819508870486,0.03472053188308028,0.9752766645777894,0.7867500369459767,3.4824,1
502,588186.4014,9723764.1,-1.825,81.9298,52.47500159032597,49.4962,3.074731184424297,2.7142,16.35036850124651,1.0178086216871995,27.08209010231603,1.9376274649436442,0.11353374768372658,0.6037336276289933,0.037582351208563396,0.9432338923287403,0.8827438358674592,3.4824,1
502,588186.4014,9723764.1,-2.4,66.4986,52.4443431060183,45.8436,7.2186218063328935,6.8261,13.119096311236646,1.0841091080031018,26.13382966840906,2.0067607301127306,0.276217527163991,0.5019967022703601,0.04148297902597827,0.8741381297755101,0.9456237191996214,3.4824,1
502,588186.4014,9723764.1,-2.9,68.4117,53.50277458016821,44.664,8.954589219381665,8.7806,10.266300974874383,0.8459913112764081,26.430343914299335,2.0242935450878545,0.33879957250715365,0.38842858073141123,0.03200833534438839,0.8347978277850947,0.9805698268095787,3.4824,1
503,588191.0614,9723550.45,-0.25,86.5125,54.240213031904865,50.0623,2.6756326422088814,2.4178,14.138220136364053,1.2755224181647593,27.67041177135744,1.9602242814489197,0.09669652422659346,0.5109508399509614,0.046096980005375085,0.9229738823214548,0.9036367556063204,3.8856,1
503,588191.0614,9723550.45,-0.75,83.3025,57.757866339767816,54.9061,1.9854871424711782,1.8712,9.453922987898562,1.204397811175586,29.59832571868686,1.9513896457765674,0.06708106267029976,0.319407356948229,0.040691416893732985,0.9506254901628127,0.942438739578573,3.8856,1
503,588191.0614,9723550.45,-1.25,70.8983,58.836012542085065,55.3643,2.2868712853811264,2.2005,7.547263595796718,1.1403924321440129,30.18946014459308,1.948892502889707,0.07575065186419719,0.24999663987527215,0.0377745221902637,0.9409934087630129,0.9622316804914833,3.8856,1
505,588182.8914,9723160.059,-0.25,89.4259,48.356182522619235,45.5445,2.9027213834246597,2.7557,22.275862138676032,0.9072962752940678,25.557937679986,1.8920220844143525,0.11357416313358229,0.8715829272922867,0.035499588685692605,0.9418547458475649,0.9493505011317337,3.8856,1
505,588182.8914,9723160.059,-0.75,83.9145,55.44675580973861,52.9441,2.883321921946111,2.7745,11.758427645092432,0.9587579040637964,28.95273671915905,1.9150782306892438,0.09958719791894889,0.4061249117535568,0.03311458648499202,0.9548638008988968,0.9622581435954745,3.8856,1
505,588182.8914,9723160.059,-1.25,79.5737,56.51906190032514,53.1512,3.777453184352354,3.7188,9.300947568291642,0.9903688621811534,29.412168484849712,1.921621723656257,0.12843164509608093,0.3162278759922984,0.03367207904753079,0.9404119285230783,0.9844728229603696,3.8856,1
505,588182.8914,9723160.059,-1.75,76.6829,54.04143006165598,48.5134,5.948341295709246,5.6977,11.257696850633401,0.8559384982566657,27.896593293744704,1.9372053602607373,0.21322823303457097,0.40355095448725387,0.03068254568734721,0.897707554086762,0.9578636659786078,3.8856,1
