Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
125 588904.5932 9724877.5630 -1.2500 98.1000 98.3500 97.8500 0.5000 48.1196 55.1000 45.1000 8.5500 6.2000 8.1800 1.2300 26.6400 13.5526 50.5510 45.3700 5.4570 3.7600 15.5720 0.9270 25.6340 50 1 1
126 588903.6432 9724887.3930 -0.2500 99.1800 99.4300 98.9300 0.5000 68.8821 46.6000 44.8000 1.0600 0.3000 25.3000 1.5300 24.7600 19.7926 49.3150 48.5740 0.9340 0.3260 21.3670 1.1740 26.1900 50 1 1
126 588903.6432 9724887.3930 -0.7500 98.6800 98.9300 98.4300 0.5000 65.4328 54.7000 52.5000 1.8900 0.6000 12.9000 1.4400 28.6000 23.2074 51.1160 49.1420 1.2320 0.5290 18.3400 1.2690 27.1410 50 1 1
126 588903.6432 9724887.3930 -1.3000 98.1300 98.4300 97.8300 0.6000 71.3203 57.0000 54.0000 2.6600 2.0000 7.9600 1.2600 29.7700 16.1065 53.6700 51.5650 2.2190 1.0920 14.0530 0.9610 28.1510 50 1 1
127 588904.0232 9724897.5230 -0.2500 99.2800 99.5300 99.0300 0.5000 72.6513 39.6000 39.3000 1.2700 0.1000 35.8000 1.2700 21.7300 14.6517 46.9610 46.1500 1.2870 0.2520 25.3670 0.9030 25.3350 50 1 1
127 588904.0232 9724897.5230 -0.7500 98.7800 99.0300 98.5300 0.5000 71.2322 54.6000 49.3000 1.7900 1.0000 12.0000 1.4600 29.0100 18.8394 54.4710 51.5000 1.3930 0.8430 13.6860 1.2390 28.7500 50 1 1
127 588904.0232 9724897.5230 -1.2500 98.2800 98.5300 98.0300 0.5000 59.8261 56.0000 52.7000 2.5400 1.3000 9.9100 1.3200 29.4100 20.4721 54.4740 52.2870 2.1150 0.9430 12.0070 1.0590 29.0080 50 1 1
127 588904.0232 9724897.5230 -1.7500 97.7800 98.0300 97.5300 0.5000 66.8731 56.9000 49.2000 2.7900 2.2000 7.7900 1.1300 29.9100 13.9108 53.8260 49.4300 3.1570 1.7550 13.7880 1.0070 28.1110 50 1 1
127 588904.0232 9724897.5230 -2.2500 97.2800 97.5300 97.0300 0.5000 49.9979 53.1000 44.9000 7.8700 6.6000 9.9300 1.0700 27.3000 9.6153 46.0660 39.1210 6.6270 5.2690 22.2630 0.8450 23.9080 50 1 1
128 588903.6032 9724907.1030 -0.2500 99.4400 99.6900 99.1900 0.5000 81.1771 50.1000 47.9000 1.6000 0.1000 21.2000 1.4800 26.5500 10.6278 50.2050 48.2240 1.4780 0.1000 21.1570 1.0980 26.6790 50 1 1
128 588903.6032 9724907.1030 -0.7500 98.9400 99.1900 98.6900 0.5000 66.4795 58.0000 53.0000 1.9500 0.9000 8.4000 1.5300 30.2700 22.6723 57.6860 54.4930 1.5610 0.3380 10.3690 1.3400 29.9280 50 1 1
128 588903.6032 9724907.1030 -1.2500 98.4400 98.6900 98.1900 0.5000 58.0166 55.1000 51.1000 2.1200 0.5000 13.8000 1.3900 28.5100 27.9852 53.0970 49.7590 1.6310 0.2000 17.2680 1.1370 27.6790 50 1 1
128 588903.6032 9724907.1030 -1.6500 98.0400 98.1900 97.8900 0.3000 37.7928 56.8000 52.0000 4.3000 3.9000 9.1000 1.1200 28.8000 29.2025 52.9170 48.2270 3.2050 2.2170 16.3910 0.9570 27.4070 50 1 1
129 588903.3632 9724917.4930 -0.2500 99.7200 99.9700 99.4700 0.5000 68.4160 43.6000 41.6000 1.8100 0.3000 30.4000 1.4600 22.5000 18.5874 49.6500 47.7820 1.5230 0.2970 21.7180 1.1610 25.9830 50 1 1
129 588903.3632 9724917.4930 -0.7500 99.2200 99.4700 98.9700 0.5000 55.0786 52.2000 48.1000 3.0400 2.1000 15.5000 1.4500 27.1100 21.1374 49.9050 47.5670 2.7280 0.9000 19.8190 1.2120 26.1140 50 1 1
129 588903.3632 9724917.4930 -1.2500 98.7200 98.9700 98.4700 0.5000 62.0663 57.3000 52.5000 3.5600 2.6000 6.9000 1.3900 29.6200 18.4796 53.9320 50.5790 2.8720 1.9470 12.9100 1.2340 28.2310 50 1 1
