BHID,X,Y,Z_STRAT_TOP,Z_MID,Z_TOP,Z_BOT,LENGTH,RCG,ATG,AAG,STG,SRG,FEG,TIG,PPG,LITOM,LPCP,NORTH_FLAG
1565,590790.2479,9726381.406,-2.225,94.865,95.09,94.64,0.45,70.69640000000001,52.807958722084855,47.30790775767931,5.549657761922813,5.539657761922813,12.7449830401548,0.7517184467667377,27.52954368256375,50,2,1
1566,590812.2579,9726388.936,-0.25,97.15,97.4,96.9,0.5,90.8629,47.807093247078846,46.36105518313856,7.096378378854297,1.1948679934274604,17.74709498596237,1.0301508646543311,25.73611262682569,50,2,1
1566,590812.2579,9726388.936,-0.75,96.65,96.9,96.4,0.5,90.2925,49.80069069967051,47.81322930475953,1.4131944181410414,0.9664004651549132,20.520501392695962,1.214266976769942,26.667079535952595,50,2,1
1566,590812.2579,9726388.936,-1.25,96.15,96.4,95.9,0.5,79.6599,55.98916231378649,52.3257902533144,3.3507462223778846,3.3407462223778843,9.82161202813461,1.1014748323811605,29.213389672846688,50,2,1
1567,590836.988,9726394.846,-0.25,96.75,97.0,96.5,0.5,75.4975,50.34622692142124,46.0730516109805,4.137864366369747,4.082201503361039,18.40863407397596,1.0138502334514388,26.604353216993943,50,2,1
1567,590836.988,9726394.846,-0.75,96.25,96.5,96.0,0.5,82.0103,50.42821673619045,45.92364867583706,4.677233896230108,4.667233896230107,18.382177531358867,0.912665835876713,26.530769842324684,50,2,1
1567,590836.988,9726394.846,-1.25,95.75,96.0,95.5,0.5,63.596599999999995,52.986479072780625,46.91751310604655,6.16192408084709,6.057486909677562,13.018939770365082,0.7854712044354574,27.47413613306372,50,2,1
1567,590836.988,9726394.846,-1.7,95.3,95.5,95.1,0.4,61.373900000000006,55.63883836614587,49.9683310983985,5.838263382317239,5.7678535990054405,8.763532772074123,0.7260194968871133,28.824165549199247,50,2,1
1568,590853.518,9726350.276,-0.25,96.06,96.31,95.81,0.5,68.2974,51.76618363217341,46.1028645599979,5.460803749483875,5.422312943098859,15.092325681504713,0.9805030645383281,26.975214517682957,50,2,1
1568,590853.518,9726350.276,-0.75,95.56,95.81,95.31,0.5,65.382,51.326445046037136,44.98339810651249,6.368965235079991,6.3589652350799915,14.847285491419656,0.8729591477776757,26.652099966351596,50,2,1
1568,590853.518,9726350.276,-1.25,95.06,95.31,94.81,0.5,62.091499999999996,55.08098775194672,47.606506285079284,7.600209110747848,7.202572252240645,7.986475701182932,0.8504539268659962,28.321873509256502,50,2,1
1569,590870.008,9726302.216,-0.25,95.58,95.83,95.33,0.5,94.9529,46.070272177047784,43.59183719507251,2.712458418858192,2.085801413121663,24.793177922949166,1.2750340221309724,24.77034022130972,50,2,1
1569,590870.008,9726302.216,-0.75,95.08,95.33,94.83,0.5,88.89439999999999,52.985884037689665,49.670091096852,3.0895598372900883,3.0118072004535716,14.59462247340665,1.1941308113896938,27.88986235353408,50,2,1
1569,590870.008,9726302.216,-1.25,94.58,94.83,94.33,0.5,88.2549,54.98600562688305,52.0608705125721,2.9213172866322434,2.713862505084703,11.588265467413141,1.1170908697420767,28.954139226263923,50,2,1
1569,590870.008,9726302.216,-1.75,94.08,94.33,93.83,0.5,77.03960000000001,54.85757267690902,50.16058398537894,4.478650693928836,4.468650693928836,10.499159289508253,0.9683379976012335,28.531694842652346,50,2,1
